,Date,Tweets
0,2020-12-30 08:20:40+00:00," Hai, 

Pendaftaran tidak diperlukan untuk menyertai Kempen ini. 

Sekian,"
1,2020-12-28 06:52:36+00:00," Hi, .

Berikutan pengumuman Perintah Kawalan Pergerakan Bersyarat (PKPB) , waktu operasi cawangan kami di kawasan yang terlibat telah disemak semula ke 10.00 pagi hingga 3.00 petang, Isnin hingga Jumaat, sehingga PKPB berakhir.

Sekian,"
2,2020-12-28 06:42:57+00:00," Hi, ,

We would appreciate if you could call AmBank Contact Centre to check on the status of the hire purchase account.

Regards,"
3,2020-12-24 02:36:51+00:00,"  Hi 

You can provide the online receipt to the merchant if the transaction has been successfully transmitted via AmOnline.

Scroll down the main page to ‘Recent AmOnline Transactions’ to download the receipt.

Thank you."
4,2020-12-21 03:27:31+00:00," Hi Mohd Ariff

Kindly refer to our reply via DM.

Thank you."
5,2020-12-18 10:01:51+00:00," Hi 

Kindly provide complete details via DM for further assistance.

Thank you."
6,2020-12-18 01:58:38+00:00,"The Top 30 SMEs participants in the   S3 under the Halal Quest track have been selected! 
They will undergo online training sessions by Halal Development Corporation Berhad (HDC), then a business pitch to qualify for the next phase. Info @  "
7,2020-12-17 03:08:43+00:00," Hai Fikry A Rahman

Kami memohon maaf kerana Pusat Panggilan AmBank sedang mengalami kadar panggilan yang tinggi.

Kami amat menghargai sekiranya anda dapat menghantar mesej melalui AmOnline untuk bantuan selanjutnya ke atas akaun / pinjaman.

Terima kasih."
8,2020-12-16 02:34:15+00:00," and RM30,000 could be yours! Simply spend with your AmBank Debit Card to win.

The more you  with your AmBank Debit Card, the more chances you get to win! So what are you waiting for?

For more info, visit  "
9,2020-12-16 01:46:14+00:00,"_ Hai _

Waktu operasi Pusat Panggilan AmBank (03-2178 8888) adalah 7 pagi – 11 malam.

Terima kasih."
10,2020-12-14 09:18:10+00:00," Hi 

Kindly provide complete details via DM for our checking.

Thank you."
11,2020-12-14 08:58:26+00:00," Hi 

Kindly specify the following details for our checking:

-Branch location (Country Homes / Bandar Baru Rawang)
-Time of incident

Thank you."
12,2020-12-14 08:54:12+00:00,"_ride_rbl _official Hi _ride_rbl

Due to the limited text capacity, we would appreciate if you refer to our reply via DM.

Thank you."
13,2020-12-11 03:05:16+00:00,"_yuen Hi Zulkarnain

This is a promotion that caters for new first time car buyers and applicable only for New National Vehicles (Proton &amp; Perodua).

Due to the limited text capacity, we would appreciate if you could DM us for full details of the said campaign.

Thank you."
14,2020-12-10 01:43:49+00:00," Hi Faez

Online transfer can be conveniently authorized via AmOnline app.

Kindly specify the issue / error prompted for our checking.

Thank you."
15,2020-12-09 05:39:56+00:00," Hi Pebblepick3r

Kindly specify the following details for our checking:

-Branch location (USJ Sentral / USJ Taipan)
-Time of incident

Thank you."
16,2020-12-08 10:08:06+00:00," Hi SofiyyahMustaffa

Kindly follow the steps below for loan payment via AmOnline:

Transfer Money &gt; Choose “Own / Favourite” &gt; Choose “Myself” &gt; Select the Loan Account from “AmBank” Listing &gt; Enter amount to pay

Thank you."
17,2020-12-07 07:19:46+00:00,"AmOnline eFixed Deposit Promo is now on from 1 December 2020 - 31 December 2020. Boost your returns with our eFD promotion rate @ 2.30%p.a. for 6 months via AmOnline! Use Reward Code: BEST6. Terms and Conditions apply. For more info, visit 
  "
18,2020-12-06 01:26:01+00:00," Hi Robert Lim

Kindly provide complete details via DM for our escalation.

Thank you."
19,2020-12-04 10:58:24+00:00," Hai 

Sila nyatakan maklumat lengkap melalui DM untuk semakan selanjutnya.

Terima kasih."
20,2020-12-03 11:02:40+00:00," Hi 

We would appreciate if you could send foreign cheque to our Cheque Processing Centre at this address:

Cheque Processing Centre
Level 6, Tower 1, Wisma AmFirst
Jalan Stadium SS7/15
47301 Petaling Jaya
Selangor Darul Ehsan
Malaysia

Thank you."
21,2020-12-02 11:18:24+00:00," _official Hai 

Sila semak DM anda untuk bantuan selanjutnya.

Terima kasih."
22,2020-12-02 02:43:14+00:00," Hi 

The error indicates that the mobile number is not registered for TAC.

We would appreciate if you could call Contact Centre at 03-2178 8888 (7am – 11pm) to update your mobile number for TAC.

Thank you."
23,2020-12-01 06:32:57+00:00," Hai Kent CWC

Kami amat menghargai sekiranya anda boleh hubungi Pusat Panggilan AmBank di talian 03-2178 8888 (7 pagi – 11 malam) untuk mengemaskini nombor telefon bagi menerima TAC.

Fasiliti tersebut tidak ditawarkan melalui ATM.

Terima kasih."
24,2020-12-01 06:23:28+00:00,"  _official Hai 

Sila layari laman web ini untuk Program Bantuan Pembayaran Bersasar AmBank:


Terima kasih."
25,2020-11-30 10:29:18+00:00," Hi 

Kindly provide complete details via PM for further assistance.

Thank you."
26,2020-11-29 07:00:25+00:00,"We pray for their speedy recovery. Pls stay safe, everyone. "
27,2020-11-27 10:20:45+00:00," Hai Dai Afam

Sila kemukakan maklumat lanjut melalui DM untuk semakan selanjutnya.

Terima kasih."
28,2020-11-27 10:19:05+00:00,"_nyn _official Hai Hakim Nayan

Sila kemukakan maklumat lanjut melalui DM untuk semakan selanjutnya.

Terima kasih."
29,2020-11-27 10:15:16+00:00,"@____vrendee Hai Darthdee

Kami memohon maaf kerana Pusat Panggilan AmBank sedang mengalami kadar panggilan yang tinggi.

Kami amat menghargai sekiranya anda dapat menghantar mesej melalui AmOnline untuk bantuan selanjutnya ke atas akaun / pinjaman.

Terima kasih."
30,2020-11-27 02:39:12+00:00," Hi Izzatul Nadhirah Esa

We would appreciate if you could send message via AmOnline app for further clarification on the transaction details.

You may log in to AmOnline app &gt; Menu &gt; Inbox &gt; AmMail tab to send message.

Thank you."
31,2020-11-24 14:45:40+00:00,"Our Targeted Repayment Assistance Programme is now available. Pls do note that there will be interest / profit charged to the loan / financing that you are applying for. To request, visit 
In the meantime, please do take care and stay safe, always."
32,2020-11-24 02:10:47+00:00," Hai Zaza Sabran

Kami memohon maaf kerana Pusat Panggilan AmBank sedang mengalami kadar panggilan yang tinggi.

Kami amat menghargai sekiranya anda dapat menghantar mesej melalui AmOnline untuk bantuan selanjutnya ke atas akaun / pinjaman.

Terima kasih."
33,2020-11-23 04:53:14+00:00," Hai Rynycute

Sila kemukakan maklumat lengkap melalui DM untuk bantuan selanjutnya.

Terima kasih."
34,2020-11-20 07:22:29+00:00," Hai, 

Anda boleh menyemak mesej anda untuk bantuan lanjut.

Sekian,"
35,2020-11-20 07:17:50+00:00," Hi, 

Kindly be advised that the third party must bring a Letter Administration (LA) from Amanah Raya / High Court / Pejabat Tanah to the nearest AmBank Branches.

Only the beneficiary name in the LA letter is allowed to request for the car grant.

Regards,"
36,2020-11-19 04:54:23+00:00,"_KimJeon Hi _KimJeon

We would appreciate if you could uninstall the current version and re-install the new AmOnline apps via the apps store.

Thank you."
37,2020-11-19 04:10:27+00:00," _official Hi 

Pautan yang tepat untuk mengakses ke laman sesawang tersebut adalah:


Terima kasih."
38,2020-11-18 01:58:24+00:00," Hai Aqil

Sila kemukakan maklumat lengkap melalui DM untuk semakan selanjutnya.

Terima kasih."
39,2020-11-16 06:59:44+00:00," Hai 

Sila kemukakan maklumat lanjut melalui PM untuk bantuan selanjutnya.

Terima kasih."
40,2020-11-13 10:27:40+00:00,"Dear customers, please beware and be vigilant of SMS scams. AmBank will never request for your banking or personal information via SMS. Always remember that, and do share this to your family and friends. For more info, visit 
  "
41,2020-11-10 10:05:07+00:00,"Shop for the trendiest fashion style or get the latest beauty deals and grab an EXTRA RM 5 Bonus Cashback when you make your FIRST purchase at any fashion or beauty merchants via ShopBack. Campaign period: 9 November -31 December 2020. For more info, visit  "
42,2020-11-09 02:14:10+00:00," Hai 

Sila kemukakan maklumat lengkap melalui PM untuk bantuan selanjutnya.

Terima kasih."
43,2020-11-09 02:09:44+00:00,"  Hi FcKinsey &amp; Co

AmBank has issued directives to all staff to adhere to the governmental and regulatory SOP. Please be assured that all close contacts have been working from home.
All the necessary precautions are taken to ensure that everyone is following the new norm SOP."
44,2020-11-09 01:50:56+00:00,"Budget Report 2021 is out. Dato’ Sulaiman Mohd Tahir, our Group CEO, offers up his thoughts on the latest budget being more targeted and focused, as opposed to being broadbased.
 
"
45,2020-11-05 02:22:15+00:00,"_hafizi Hi FirdausHafizi

We have replied your PM regarding query on moratorium.

Thank you."
46,2020-11-04 10:27:37+00:00,"_hafizi Hi FirdausHafizi

Kindly provide complete details via PM for further assistance.

Thank you."
47,2020-11-04 03:32:37+00:00,"To all our valued cardholders, we bring you an important notice with regards to AmBonus Points' rewards redemption delivery services to East Malaysia.  everyone "
48,2020-11-02 03:00:45+00:00," Hi 

Kindly refer to our reply via PM for further assistance.

Thank you."
49,2020-10-31 09:57:16+00:00,"   Greetings from AmBank 

Hi, 

You may send your details to us via email at customercare.com for further escalation. 

Any inconvenience caused is very much regretted.

Regards"
