,TweetsEnglish
0,"Hi, registration is required to participate in the campaign"
1,hi following announcement cppb conditional movement control order branch operation affected area reviewed morning monday friday cppb end
2,hi would appreciate could call ambank contact center check status hire purchase account regard
3,hi provide online receipt merchant transaction successfully transmitted via amonline scroll main page recent amonline transaction download receipt thank you
4,hi mohd ariff kindly refer reply via dm thank you
5,hi kindly provide complete details via dm assistance thank you
6,top smes participant halal quest track selected undergo online training session halal development corporation berhad hdc business pitch qualify next phase info
7,hi fikry rahman apologize ambank call center experiencing high call rate appreciate send message amonline assistance loan account thank you
8,rm could simply spend ambank debit card win ambank debit card chance get win waiting info visit
9,hi ambank call center operating hours morning thanks
10,hi kindly provide complete details via dm checking thank you
11,hi kindly specify following detail checking branch location country home bandar baru rawang time incident thank you
12,ride rbl official hi ride rbl due limited text capacity would appreciate refer reply via dm thank you
13,yuen hi zulkarnain promotion caters new first time car buyer applicable new national vehicle proton amp perodua due limited text capacity would appreciate could dm u full detail said campaign thank you
14,hi faez online transfer conveniently authorized via amonline app kindly specify issue error prompt checking thank you
15,hi pebblepick r kindly specify following detail checking branch location usj central usj taipan time incident thank you
16,hi sofiyyahmustaffa kindly follow step loan payment via amonline transfer money gt choose favorite gt choose gt select loan account ambank listing gt enter amount pay thank you
17,amonline efixed deposit promo december december boost return efd promotion rate p month via amonline use reward code best term condition apply info visit
18,hi robert lim kindly provide complete details via dm escalation thank you
19,hi please specify full information via dm review thank you
20,hi would appreciate could send foreign check check processing center address check processing center level tower wisma amfirst jalan stadium s petaling jaya selangor darul ehsan malaysia thank you
21,"Official Hi, please DM me for help, thank you"
22,hi error indicates mobile number registered tac would appreciate could call contact center pm update mobile number tac thank you
23,hi kent cwc really appreciate contact ambank call center morning update phone number receive tac facility offered via atm thank you
24,official hi please visit site ambank -based payment aid program thank you
25,hi kindly provide complete details via pm assistance thank you
26,pray speedy recovery pls stay safe everyone
27,hi dai afam please submit information dm review thank you
28,nyn official hi judge nayan please submit information dm review thank you
29,hi darthdee apologize ambank call center experiencing high call rate appreciate send message via amonline assistance loan account thank you
30,hi izzatul nadhirah esa would appreciate could send message via amonline app clarification transaction detail may log amonline app gt menu gt inbox gt ammail tab send message thank you
31,targeted repayment assistance program available pls note interest profit charged loan financing applying request visit meanwhile please take care stay safe always
32,hi zaza sabran apologize ambank call center experiencing high call rate appreciate send message via amonline assistance loan account thank you
33,hi rynycute please submit full information dm help thank you
34,hi check message assistance
35,hi kindly advised third party must bring letter administration la amanah raya high court land office nearest ambank branch beneficiary name la letter allowed request car grant regard
36,kimjeon hi kimjeon would appreciate could uninstall current version install new amonline apps via apps store thank you
37,official hi right link access website thank you
38,hi aqil please provide full information dm review thank you
39,hi please submit information pm help thank you
40,dear customer please beware vigilant sm scam ambank never request banking personal information via sm always remember share family friend info visit
41,shop trendiest fashion style get latest beauty deal grab extra rm bonus cashback make first purchase fashion beauty merchant via shopback campaign period november december info visit
42,hi please submit full information pm help thank you
43,hi fckinsey amp co ambank issued directive staff adhere governmental regulatory sop please assured close contact working home necessary precaution taken ensure everyone following new norm sop
